Date,Close,High,Low,Open,Volume
2/16/2023,152.3426666,154.9393554,151.9858684,152.1444336,68167900
2/17/2023,151.1929932,151.6389872,149.5081186,150.9947753,59144100
2/21/2023,147.1591949,149.954117,147.0898255,148.8638959,58867200
2/22/2023,147.5853729,148.6161149,145.8509401,147.5457203,51011300
2/23/2023,148.0709991,149.0026398,145.930225,148.7548636,48394200
2/24/2023,145.404953,145.8806789,144.4237541,145.8013888,55469600
2/27/2023,146.6041718,147.8430523,146.1383514,146.3960483,44998500
2/28/2023,146.0987091,147.7538517,145.5238667,145.7419109,50547000
3/1/2023,144.0173798,145.9202984,143.7200454,145.5238627,55479000
3/2/2023,144.6120453,145.4049318,142.6199158,143.0956568,52238100
3/3/2023,149.6865082,149.7657984,146.0194246,146.7231003,70732300
3/6/2023,152.4616089,154.9096382,152.0949051,152.4219562,87558000
3/7/2023,150.2514496,152.6598263,149.7856293,152.33276,56182000
3/8/2023,151.5101318,152.1048006,150.4793899,151.450668,47204800
3/9/2023,149.2503967,153.1652558,148.8935986,152.1939778,53833600
3/10/2023,147.1790161,149.5973135,146.2969337,148.8738114,68572400
3/13/2023,149.131485,151.777732,146.3861215,146.4951436,84457100
3/14/2023,151.2326355,152.0354277,148.7647949,149.934291,73695900
3/15/2023,151.6290894,151.8867711,148.5863912,149.8450982,77167900
3/16/2023,154.463623,155.0681973,150.291067,150.8064455,76161100
3/17/2023,153.6212006,155.3457279,152.9076041,154.6915953,98944600
3/20/2023,155.9998322,156.4161093,152.7787427,153.6905721,73641400
3/21/2023,157.8631134,157.9820411,155.1474818,155.9205572,73938300
3/22/2023,156.4260254,160.6976834,156.4061991,157.8829502,75701800
3/23/2023,157.5162201,160.112924,156.2773396,157.4171187,67622100
3/24/2023,158.8244934,158.9136892,156.4458487,157.4468588,59196500
3/27/2023,156.8720245,159.3398803,156.465668,158.5172617,52390300
3/28/2023,156.2476044,157.0801436,154.5924618,156.564765,45992200
3/29/2023,159.3398743,159.6173823,157.9325077,157.9523189,51305700
3/30/2023,160.9156952,161.0247173,159.8353951,160.0930768,49501700
3/31/2023,163.4331055,163.532222,160.4697131,160.9949972,68749800
4/3/2023,164.6918182,164.8107459,162.7591677,162.8087259,56976200
4/4/2023,164.156662,165.3558901,163.6412834,165.1180347,46278300
4/5/2023,162.3032684,163.5818017,160.3607121,163.2745617,51511700
4/6/2023,163.1952515,163.4925858,160.5589102,160.9850778,45390100
4/10/2023,160.5886688,160.5886688,158.656018,159.9840944,47716900
4/11/2023,159.3696289,160.9157497,159.0822001,160.9058441,47644200
4/12/2023,158.675827,160.6183833,158.3586663,159.7858592,50133100
4/13/2023,164.087265,164.3251355,159.9840928,160.1922314,68445600
4/14/2023,163.7403717,164.8404982,162.3627371,163.1258767,49386500
4/17/2023,163.7601929,163.9187732,162.5708705,163.6214388,41516200
4/18/2023,164.989151,165.9207916,164.1764381,164.6224472,49923000
4/19/2023,166.138855,166.6641392,164.067435,164.3251319,47720200
4/20/2023,165.1675568,166.3767054,164.0872565,164.6125407,52456400
4/21/2023,163.5520325,164.9693043,163.0267484,163.5817644,58337300
4/24/2023,163.8592987,164.1269011,162.4321059,163.5322324,41949600
4/25/2023,162.3131714,164.8305699,162.2735187,163.7205378,48714100
4/26/2023,162.3032684,163.8097515,161.3518166,161.6094983,45498800
4/27/2023,166.9118958,167.0605554,163.7205384,163.7205384,64902300
4/28/2023,168.1706085,168.3391096,166.3866325,166.9912068,55209200
5/1/2023,168.0814209,168.9337714,167.1398746,167.7741809,52472900
5/2/2023,167.0407562,168.8346682,166.0496517,168.5769713,48425700
5/3/2023,165.9604645,169.3995987,165.6730508,167.992232,65136000
5/4/2023,164.3152161,165.5540967,162.8483856,163.423228,81235400
5/5/2023,172.026001,172.749503,169.2409849,169.459029,113316400
5/8/2023,171.9566193,172.3035119,170.5789847,170.9456885,55962800
5/9/2023,170.2420197,171.9962637,170.0735337,171.5106322,45326900
5/10/2023,172.0160828,172.4819031,170.3708458,171.480893,53724500
5/11/2023,172.2043915,173.0369156,170.6384447,172.303508,49514700
5/12/2023,171.2714691,172.7502476,169.7132756,172.3135561,45497800
5/15/2023,170.7752228,171.906644,170.1797316,171.8570172,37266700
5/16/2023,170.7752228,171.8371634,170.5072502,170.6958229,42110300
5/17/2023,171.390564,171.6287483,169.1376408,170.4179424,57951600
5/18/2023,173.7328033,173.9213761,171.2813882,171.698226,65496700
5/19/2023,173.84198,175.0627204,173.6236342,175.0627204,55772400
5/22/2023,172.8892059,173.3953781,172.1448494,172.6708601,43570900
5/23/2023,170.2690735,172.0753859,169.9911816,171.8272671,50747300
5/24/2023,170.5469666,171.1226041,169.2369069,169.80261,45143500
5/25/2023,171.6883087,172.5914497,170.3980878,171.1126712,56058300
5/26/2023,174.1099548,174.447408,171.8074197,172.0158462,54835000
5/30/2023,175.9658813,177.6431671,175.2413786,175.6284434,55964400
5/31/2023,175.9162598,178.0004641,175.4299414,175.9956596,99625300
6/1/2023,178.7348785,178.7646516,175.5986529,176.3628631,68901800
6/2/2023,179.5883942,180.4121504,177.9111086,179.667794,61945900
6/5/2023,178.2287292,183.5583172,176.7003087,181.2557822,121946500
6/6/2023,177.8615112,178.7646523,176.0948912,178.615787,64848400
6/7/2023,176.4819794,179.8464703,175.9857417,177.0973093,61944600
6/8/2023,179.2112885,179.4792459,176.1246894,176.5613658,50214900
6/9/2023,179.5983276,180.8587603,179.270809,180.1342576,48870700
6/12/2023,182.4070435,182.5062971,179.6082708,179.9060164,54274900
6/13/2023,181.9306641,182.7643398,181.0672153,181.4245071,54929100
6/14/2023,182.5658417,183.0025333,180.6503715,181.9902041,57462900
6/15/2023,184.6103363,185.1165084,182.3971205,182.5757739,65433200
6/16/2023,183.5285492,185.5829805,182.8834462,185.3249272,101235600
6/20/2023,183.6178589,184.6996685,183.0223828,183.0223828,49799100
6/21/2023,182.5757751,184.0148614,181.2160736,183.5086893,49515700
6/22/2023,185.5928802,185.642507,182.2879357,182.3574162,51245300
6/23/2023,185.2752991,186.1486823,183.617867,184.1538122,53079300
6/26/2023,183.8759155,186.6349958,183.836208,185.4241747,48088700
6/27/2023,186.6448975,186.9724161,184.2728822,184.4912279,50730800
6/28/2023,187.825943,188.4710459,186.1883649,186.5158684,51216800
6/29/2023,188.1633911,188.6397902,187.5182882,187.6572342,46347300
6/30/2023,192.510437,193.016594,189.8208223,190.1880484,85069600
7/3/2023,191.0117798,192.4210927,190.317035,192.3218391,31458200
7/5/2023,189.8903198,191.5278982,189.1856556,190.1285194,46920300
7/6/2023,190.3666687,190.5750952,187.7763078,188.4114913,45094300
7/7/2023,189.2451782,191.2202095,188.8085018,189.9696961,46778000
7/10/2023,187.1907806,188.5604015,185.632587,187.8358836,59922200
7/11/2023,186.6647491,187.8755702,185.19589,187.7366242,46638100
7/12/2023,188.3420563,190.2575265,187.0518353,188.252722,60750200
7/13/2023,189.1062469,189.751365,188.3519711,189.0665546,41342300
7/14/2023,189.2551422,189.7414455,188.2031207,188.7985969,41573900
7/17/2023,192.530304,192.8578226,190.3666998,190.4560189,50520200
7/18/2023,192.2722626,192.8677539,190.9721222,191.8951322,48353800
7/19/2023,193.631958,196.7383957,191.2003811,191.6470072,80507300
7/20/2023,191.6767731,194.9916372,191.0515087,193.6220163,59581200
7/21/2023,190.4957428,193.5029422,189.7910786,192.6394934,71917800
7/24/2023,191.2996368,193.4433874,190.8033991,191.9546743,45377800
7/25/2023,192.1630554,192.9768924,191.4683258,191.8752443,37283200
7/26/2023,193.0364685,194.1678899,191.8653548,192.2127121,47471900
7/27/2023,191.7660828,195.7161303,191.1011261,194.5450167,47460200
7/28/2023,194.3564453,195.1504286,192.6791596,193.2051703,48291400
7/31/2023,194.9717712,195.0114787,193.7907232,194.5847065,38824100
8/1/2023,194.138092,195.2496595,193.8105734,194.7633563,35175100
8/2/2023,191.1309052,193.711332,190.4064024,193.572386,50389300
8/3/2023,189.7315063,190.9224737,189.2551224,190.1285056,61235200
8/4/2023,180.6205902,185.9700316,180.5511097,184.1240269,115799700
8/7/2023,177.5042267,181.7520201,176.0155136,180.7595447,97576100
8/8/2023,178.447052,178.9135166,176.2437557,178.3378791,67823000
8/9/2023,176.8491821,179.5685549,175.6780534,179.5090088,60378500
8/10/2023,176.6308289,179.389909,176.2636178,178.1294611,54686900
8/11/2023,176.6904755,177.5153443,175.4581538,176.2233961,51988100
8/14/2023,178.3501434,178.5787168,176.2134309,176.8693528,43675600
8/15/2023,176.3525696,178.370014,175.9550494,177.7737337,43622600
8/16/2023,175.4780273,177.4358301,175.408453,176.0345617,46964900
8/17/2023,172.9238892,176.4121759,172.4071009,176.0444691,66062900
8/18/2023,173.4109039,174.0171321,170.8965515,171.2344452,61114200
8/21/2023,174.7525177,175.0407327,172.6655142,173.9872907,46311900
8/22/2023,176.1339264,176.5811404,175.1599914,175.9649796,42084200
8/23/2023,179.9998779,180.4272265,177.2271391,177.4159664,52722800
8/24/2023,175.2891846,179.979995,174.9214625,179.5526464,54945800
8/25/2023,177.5054016,178.0420554,174.7326628,176.2830127,51449600
8/28/2023,179.0756378,179.473158,177.4457808,178.9762502,43820700
8/29/2023,182.981308,183.7564829,178.3898852,178.5886452,53003900
8/30/2023,186.4894867,186.6882619,183.5974949,183.796255,60813900
8/31/2023,186.7081299,187.9503994,186.3205424,186.6783166,60794500
9/1/2023,188.2883148,188.7454615,187.1156045,188.3181281,45732600
9/5/2023,188.5268097,188.8050768,186.4497388,187.1155934,45280000
9/6/2023,181.7788086,187.6820755,180.3477118,187.2348463,81755800
9/7/2023,176.4618835,177.1078727,172.4667409,174.0965977,112488800
9/8/2023,177.0780487,179.1253215,176.6904612,177.2470107,65551300
9/11/2023,178.2507324,179.1849213,176.243221,178.956348,58953100
9/12/2023,175.2096863,179.0160017,173.7388435,178.3799603,90370200
9/13/2023,173.1326141,176.2035006,172.9040256,175.4183778,84267900
9/14/2023,174.6531525,175.0109267,172.5065072,172.9239079,60895800
9/15/2023,173.9276428,175.4084334,172.7450151,175.3885528,109205100
9/18/2023,176.8693542,178.2706378,175.0804832,175.3885636,67257600
9/19/2023,177.9625397,178.5190739,176.0345353,176.4221227,51826900
9/20/2023,174.4046936,178.5886485,174.3152387,178.1513673,58436200
